time_et,open,high,low,close,volume
2026-08-17 04:00:00,1005.5,1006.2,989.13,994.9,60836
2026-08-17 04:01:00,991.23,1006.35,989.18,1003.0,138789
2026-08-17 04:02:00,1004.85,1006.0,1001.46,1004.65,13876
2026-08-17 04:03:00,1004.91,1007.14,1004.82,1006.88,7508
2026-08-17 04:04:00,1006.75,1007.0,1006.0,1006.04,3042
2026-08-17 04:05:00,1005.8,1006.55,1005.01,1006.11,2172
2026-08-17 04:06:00,1006.0,1007.55,993.75,1005.0,4182
2026-08-17 04:07:00,1005.36,1005.36,1003.79,1004.1,1497
2026-08-17 04:08:00,1005.0,1006.91,1005.0,1006.91,2031
2026-08-17 04:09:00,1007.03,1008.0,1007.02,1008.0,1982
2026-08-17 04:10:00,1008.0,1009.82,1008.0,1009.6,3717
2026-08-17 04:11:00,1009.75,1009.75,1007.0,1007.0,4290
2026-08-17 04:12:00,1007.03,1007.03,1006.17,1006.82,1275
2026-08-17 04:13:00,1006.73,1007.54,1006.0,1006.69,3169
2026-08-17 04:14:00,1006.5,1006.71,1005.0,1005.01,2497
2026-08-17 04:15:00,1005.0,1006.0,1005.0,1006.0,1943
2026-08-17 04:16:00,1006.5,1006.6,1005.8,1006.5,1684
2026-08-17 04:17:00,1006.21,1007.07,1005.47,1005.48,887
2026-08-17 04:18:00,1005.2,1006.73,1005.14,1006.51,3344
2026-08-17 04:19:00,1006.4,1006.4,1005.0,1005.29,1989
2026-08-17 04:20:00,1005.02,1005.5,1004.82,1005.5,2617
2026-08-17 04:21:00,1005.39,1006.49,1005.39,1006.35,791
2026-08-17 04:22:00,1006.2,1006.55,1006.13,1006.4,646
2026-08-17 04:23:00,1006.02,1006.5,1005.4,1005.4,484
2026-08-17 04:24:00,1005.6,1006.47,1005.6,1006.43,832
2026-08-17 04:25:00,1006.47,1007.0,1006.3,1006.7,960
2026-08-17 04:26:00,1006.94,1008.44,1006.94,1007.91,1578
2026-08-17 04:27:00,1007.0,1007.49,1006.66,1006.66,2854
2026-08-17 04:28:00,1006.17,1006.99,1006.17,1006.99,390
2026-08-17 04:29:00,1007.04,1007.2,1006.72,1007.0,1320
2026-08-17 04:30:00,1007.44,1007.99,1007.39,1007.5,946
2026-08-17 04:31:00,1007.67,1008.41,1007.39,1008.41,1741
2026-08-17 04:32:00,1008.39,1008.8,1008.05,1008.8,1558
2026-08-17 04:33:00,1008.84,1009.88,1008.55,1009.88,1881
2026-08-17 04:34:00,1009.88,1010.51,1009.0,1009.0,15098
2026-08-17 04:35:00,1008.0,1009.71,1007.5,1008.47,4836
2026-08-17 04:36:00,1009.0,1009.0,1007.5,1007.98,2601
2026-08-17 04:37:00,1007.7,1008.0,1007.56,1008.0,559
2026-08-17 04:38:00,1007.67,1007.8,1007.3,1007.8,2991
2026-08-17 04:39:00,1007.61,1007.61,1006.01,1006.28,4456
2026-08-17 04:40:00,1006.86,1006.86,1005.61,1006.58,1889
2026-08-17 04:41:00,1006.15,1006.39,1005.36,1005.36,1402
2026-08-17 04:42:00,1005.5,1005.97,1005.17,1005.5,911
2026-08-17 04:43:00,1005.4,1006.0,1005.25,1006.0,766
2026-08-17 04:44:00,1005.5,1005.71,1004.55,1004.55,1693
2026-08-17 04:45:00,1004.5,1005.0,1004.5,1005.0,363
2026-08-17 04:46:00,1005.96,1006.24,1004.9,1005.67,2183
