Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2026-04-24 09:30:00-04:00,709.8350219726562,711.1599731445312,709.760009765625,710.75,3339728
2026-04-24 09:35:00-04:00,710.3099975585938,710.4199829101562,709.5499877929688,709.8400268554688,585429
2026-04-24 09:40:00-04:00,709.969970703125,710.52001953125,709.8400268554688,710.3099975585938,433329
2026-04-24 09:45:00-04:00,710.3200073242188,710.4000244140625,709.72998046875,709.989990234375,419787
2026-04-24 09:50:00-04:00,709.4849853515625,710.5499877929688,709.4099731445312,710.3300170898438,578676
2026-04-24 09:55:00-04:00,709.9400024414062,710.0700073242188,709.010009765625,709.510009765625,643161
2026-04-24 10:00:00-04:00,709.6699829101562,710.2050170898438,709.1400146484375,709.9099731445312,561434
2026-04-24 10:05:00-04:00,709.9873046875,710.2899780273438,709.260009765625,709.6500244140625,811968
2026-04-24 10:10:00-04:00,710.0499877929688,710.7000122070312,709.7100219726562,709.97998046875,501018
2026-04-24 10:15:00-04:00,710.4099731445312,710.5499877929688,709.8599853515625,710.0800170898438,499664
2026-04-24 10:20:00-04:00,710.3699951171875,710.6699829101562,710.010009765625,710.3800048828125,329067
2026-04-24 10:25:00-04:00,709.8599853515625,710.3900146484375,709.5153198242188,710.385009765625,440551
2026-04-24 10:30:00-04:00,710.1199951171875,710.260009765625,709.4500122070312,709.8900146484375,509618
2026-04-24 10:35:00-04:00,710.5800170898438,710.8800048828125,709.9199829101562,710.1099853515625,1161676
2026-04-24 10:40:00-04:00,710.989990234375,711.0999755859375,710.5399780273438,710.5700073242188,266938
2026-04-24 10:45:00-04:00,711.1649780273438,711.489990234375,710.6987915039062,711.0,403790
2026-04-24 10:50:00-04:00,711.125,711.3200073242188,710.9199829101562,711.1649780273438,235837
2026-04-24 10:55:00-04:00,711.4400024414062,711.6099853515625,711.1199951171875,711.125,860739
2026-04-24 11:00:00-04:00,711.4500122070312,711.6500244140625,711.3400268554688,711.4199829101562,255591
2026-04-24 11:05:00-04:00,711.5800170898438,711.6599731445312,711.1900024414062,711.4400024414062,394860
2026-04-24 11:10:00-04:00,711.77001953125,711.8599853515625,711.5399780273438,711.5700073242188,271013
