Price,Close,High,Low,Open,Volume
Ticker,MU,MU,MU,MU,MU
Datetime,,,,,
2026-04-24 09:30:00-04:00,497.42498779296875,506.989990234375,495.70001220703125,496.1000061035156,4648190
2026-04-24 09:35:00-04:00,499.9800109863281,500.4100036621094,494.3800048828125,497.29998779296875,1205602
2026-04-24 09:40:00-04:00,499.125,504.8999938964844,497.5199890136719,499.94000244140625,1187481
2026-04-24 09:45:00-04:00,496.0400085449219,499.5799865722656,494.5,499.1499938964844,796417
2026-04-24 09:50:00-04:00,491.8550109863281,497.010009765625,491.1099853515625,496.1499938964844,872214
2026-04-24 09:55:00-04:00,494.0249938964844,494.7300109863281,489.3599853515625,491.7099914550781,903521
2026-04-24 10:00:00-04:00,494.0000915527344,496.739990234375,493.1600036621094,493.67999267578125,650350
2026-04-24 10:05:00-04:00,499.5600891113281,500.67498779296875,493.7449035644531,494.409912109375,814306
2026-04-24 10:10:00-04:00,499.6099853515625,502.7900085449219,498.20001220703125,499.5600891113281,979452
2026-04-24 10:15:00-04:00,499.135009765625,502.44989013671875,498.75,499.67498779296875,628842
2026-04-24 10:20:00-04:00,498.54010009765625,499.6300048828125,496.17999267578125,499.0849914550781,481117
2026-04-24 10:25:00-04:00,501.9800109863281,501.9800109863281,498.3399963378906,498.94000244140625,496759
2026-04-24 10:30:00-04:00,500.04998779296875,502.4700012207031,498.80999755859375,501.9800109863281,459131
2026-04-24 10:35:00-04:00,502.14801025390625,502.6600036621094,499.6700134277344,499.9599914550781,394586
2026-04-24 10:40:00-04:00,504.14019775390625,504.4200134277344,501.57000732421875,502.0799865722656,613139
2026-04-24 10:45:00-04:00,504.4599914550781,504.5799865722656,502.0,504.3399963378906,504167
2026-04-24 10:50:00-04:00,503.3299865722656,505.39990234375,503.0299987792969,504.4599914550781,663219
2026-04-24 10:55:00-04:00,504.635009765625,506.6600036621094,503.38079833984375,503.4599914550781,583700
2026-04-24 11:00:00-04:00,503.6400146484375,504.8999938964844,502.75,504.70001220703125,372745
2026-04-24 11:05:00-04:00,501.9200134277344,503.79998779296875,501.7300109863281,503.5899963378906,362379
2026-04-24 11:10:00-04:00,502.6400146484375,503.7200012207031,501.37298583984375,501.8999938964844,334032
2026-04-24 11:15:00-04:00,501.1000061035156,502.8039855957031,501.0299987792969,502.6400146484375,309280
2026-04-24 11:20:00-04:00,501.70001220703125,502.260009765625,500.2799987792969,501.25,244448
2026-04-24 11:25:00-04:00,500.8659973144531,501.68499755859375,500.20001220703125,501.68499755859375,234728
2026-04-24 11:30:00-04:00,499.6098937988281,502.6000061035156,499.5,500.8500061035156,322327
2026-04-24 11:35:00-04:00,498.1600036621094,499.8900146484375,497.80010986328125,499.6700134277344,354160
2026-04-24 11:40:00-04:00,500.0,500.3699035644531,497.8999938964844,498.1600036621094,268377
2026-04-24 11:45:00-04:00,498.96990966796875,500.32000732421875,498.18328857421875,500.1099853515625,311156
2026-04-24 11:50:00-04:00,496.79998779296875,499.8399963378906,496.42999267578125,498.75,329786
2026-04-24 11:55:00-04:00,498.614990234375,499.0,495.8301086425781,496.7099914550781,369065
2026-04-24 12:00:00-04:00,498.1199951171875,498.8699951171875,497.2699890136719,498.635009765625,249712
2026-04-24 12:05:00-04:00,498.05999755859375,499.57000732421875,497.5003967285156,498.20989990234375,234664
2026-04-24 12:10:00-04:00,497.5963134765625,498.5,497.0,497.94500732421875,166733
2026-04-24 12:15:00-04:00,497.3500061035156,497.79998779296875,496.7379150390625,497.4849853515625,354052
2026-04-24 12:20:00-04:00,499.29998779296875,499.39990234375,497.2900085449219,497.2900085449219,175710
2026-04-24 12:25:00-04:00,498.4150085449219,499.59991455078125,498.0000915527344,499.2749938964844,197908
2026-04-24 12:30:00-04:00,499.0,499.3299865722656,498.3900146484375,498.7200012207031,159404
2026-04-24 12:35:00-04:00,498.8999938964844,500.43890380859375,498.80010986328125,499.0776062011719,252215
2026-04-24 12:40:00-04:00,497.63909912109375,499.0881042480469,496.8450012207031,499.0285949707031,201668
2026-04-24 12:45:00-04:00,497.2200012207031,498.20001220703125,497.1099853515625,497.8999938964844,382767
2026-04-24 12:50:00-04:00,498.1400146484375,498.9700012207031,497.2950134277344,497.2950134277344,143894
2026-04-24 12:55:00-04:00,498.7699890136719,498.8699951171875,498.0799865722656,498.3500061035156,93156
2026-04-24 13:00:00-04:00,498.18499755859375,498.9200134277344,497.7768859863281,498.6499938964844,133269
2026-04-24 13:05:00-04:00,496.9800109863281,498.4200134277344,496.6000061035156,498.29998779296875,128781
2026-04-24 13:10:00-04:00,496.6099853515625,497.4999084472656,496.2900085449219,496.95001220703125,203704
2026-04-24 13:15:00-04:00,496.5141906738281,496.79998779296875,495.17999267578125,496.7300109863281,236270
2026-04-24 13:20:00-04:00,495.51568603515625,496.7049865722656,494.3349914550781,496.5166015625,295747
2026-04-24 13:25:00-04:00,495.3800048828125,496.2799987792969,495.0,495.5849914550781,151242
2026-04-24 13:30:00-04:00,495.9588928222656,496.25,494.5799865722656,495.1499938964844,178668
2026-04-24 13:35:00-04:00,496.1300048828125,497.4399108886719,495.92449951171875,495.92999267578125,217788
2026-04-24 13:40:00-04:00,496.7850036621094,496.8699951171875,495.6499938964844,496.2200012207031,126975
2026-04-24 13:45:00-04:00,497.07000732421875,497.70001220703125,496.6000061035156,496.7300109863281,186382
2026-04-24 13:50:00-04:00,498.5430908203125,499.29998779296875,497.19000244140625,497.20001220703125,247980
2026-04-24 13:55:00-04:00,498.29998779296875,498.9999084472656,497.80999755859375,498.6050109863281,161612
2026-04-24 14:00:00-04:00,496.7300109863281,498.6593017578125,496.7200012207031,498.2900085449219,198550
2026-04-24 14:05:00-04:00,495.7449951171875,497.0498962402344,495.6000061035156,496.7300109863281,204552
2026-04-24 14:10:00-04:00,495.1000061035156,496.010009765625,494.4599914550781,495.7699890136719,233296
2026-04-24 14:15:00-04:00,493.739990234375,495.19989013671875,493.2900085449219,495.1099853515625,295650
2026-04-24 14:20:00-04:00,494.94989013671875,494.9798889160156,493.0223083496094,493.6700134277344,309822
2026-04-24 14:25:00-04:00,494.2049865722656,495.05999755859375,493.9599914550781,494.8550109863281,355889
2026-04-24 14:30:00-04:00,496.25,496.3924865722656,494.20001220703125,494.2049865722656,264850
2026-04-24 14:35:00-04:00,496.70001220703125,496.7099914550781,495.79998779296875,496.2809143066406,209491
2026-04-24 14:40:00-04:00,496.6499938964844,497.55999755859375,496.3999938964844,496.6549987792969,218574
2026-04-24 14:45:00-04:00,495.3800048828125,496.8598937988281,495.3586120605469,496.7499084472656,210144
2026-04-24 14:50:00-04:00,497.010009765625,497.20001220703125,495.1600036621094,495.3500061035156,195154
2026-04-24 14:55:00-04:00,497.3550109863281,497.5849914550781,496.65008544921875,497.0199890136719,263865
2026-04-24 15:00:00-04:00,497.7200012207031,498.30999755859375,497.3143005371094,497.3949890136719,310285
2026-04-24 15:05:00-04:00,497.04998779296875,498.0,496.3999938964844,497.55010986328125,238790
2026-04-24 15:10:00-04:00,497.3299865722656,497.68499755859375,496.32000732421875,497.0,179061
2026-04-24 15:15:00-04:00,497.6400146484375,497.9200134277344,497.0010070800781,497.2651062011719,180057
2026-04-24 15:20:00-04:00,496.8599853515625,497.6300048828125,496.6099853515625,497.4649963378906,140985
2026-04-24 15:25:00-04:00,496.94500732421875,497.1300048828125,496.510009765625,496.9800109863281,153720
2026-04-24 15:30:00-04:00,498.56500244140625,499.1499938964844,496.5000915527344,496.92999267578125,317508
2026-04-24 15:35:00-04:00,497.2699890136719,498.67999267578125,496.82000732421875,498.5150146484375,343389
