timestamp,setup,trigger,tipo,entry,stop,target,uscita,esito,pnl
2026-04-24 12:20:00-04:00,OB_ENGULFING,ENGULFING,LONG,713.4,709.52,721.17,709.52,STOP,-3.88
2026-04-29 14:55:00-04:00,OB_RETEST,WICK+CLOSE,LONG,710.57,709.13,713.45,713.45,TARGET,2.88
2026-04-30 10:00:00-04:00,OB_ENGULFING,ENGULFING,LONG,711.87,708.66,718.29,718.29,TARGET,6.42
2026-04-30 10:00:00-04:00,OB_RETEST,WICK+CLOSE,LONG,711.87,710.87,713.87,710.87,STOP,-1.0
2026-04-30 10:00:00-04:00,OB_ENGULFING,ENGULFING,LONG,711.87,710.08,715.45,715.45,TARGET,3.58
2026-04-30 10:00:00-04:00,OB_ENGULFING,ENGULFING,LONG,711.87,710.42,714.77,714.77,TARGET,2.9
2026-04-30 11:45:00-04:00,OB_ENGULFING,ENGULFING,LONG,714.07,711.18,719.85,719.85,TARGET,5.78
2026-04-30 13:00:00-04:00,OB_RETEST,WICK+CLOSE,LONG,714.96,714.17,716.53,716.53,TARGET,1.57
2026-05-01 11:35:00-04:00,OB_ENGULFING,ENGULFING,LONG,723.79,718.35,734.67,718.35,STOP,-5.44
2026-05-05 10:20:00-04:00,OB_ENGULFING,ENGULFING,LONG,723.18,717.35,734.84,734.84,TARGET,11.66
2026-05-06 09:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,729.66,724.72,739.54,739.54,TARGET,9.88
2026-05-06 09:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,729.66,724.41,740.16,740.16,TARGET,10.5
2026-05-06 09:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,729.66,723.53,741.92,741.92,TARGET,12.26
2026-05-06 10:30:00-04:00,OB_RETEST,WICK+CLOSE,LONG,730.96,729.57,733.74,733.74,TARGET,2.78
2026-05-08 12:00:00-04:00,OB_ENGULFING,ENGULFING,LONG,737.13,730.36,750.67,750.67,TARGET,13.54
2026-05-07 15:30:00-04:00,OB_RETEST,WICK+CLOSE,LONG,730.91,730.11,732.51,732.51,TARGET,1.6
2026-05-08 09:45:00-04:00,OB_RETEST,WICK+CLOSE,LONG,736.05,734.84,738.47,738.47,TARGET,2.42
2026-05-11 10:05:00-04:00,OB_ENGULFING,ENGULFING,LONG,738.78,737.42,741.51,737.42,STOP,-1.36
2026-05-13 12:00:00-04:00,OB_RETEST,WICK+CLOSE,LONG,740.18,739.85,740.84,740.84,TARGET,0.66
2026-05-14 10:00:00-04:00,OB_ENGULFING,ENGULFING,LONG,745.3,743.07,749.76,743.07,STOP,-2.23
2026-05-14 10:00:00-04:00,OB_ENGULFING,ENGULFING,LONG,745.3,743.08,749.74,743.08,STOP,-2.22
2026-05-14 10:00:00-04:00,OB_ENGULFING,ENGULFING,LONG,745.3,742.27,751.36,742.27,STOP,-3.03
2026-05-15 10:10:00-04:00,OB_RETEST,WICK+CLOSE,LONG,741.12,739.06,745.24,739.06,STOP,-2.06
2026-05-15 10:10:00-04:00,OB_RETEST,WICK+CLOSE,LONG,741.12,738.99,745.38,738.99,STOP,-2.13
2026-05-15 14:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,741.67,739.3,746.41,739.3,STOP,-2.37
